time,payload,routing_key
2024-10-03 20:26:10.984000+00:00,8,FLEX5.FLEX5_STATUS_STER
2024-10-03 20:26:10.984000+00:00,510,FLEX5.FLEX5_STAPNR_STER
2024-10-03 20:26:12.445000+00:00,4.918848,FLEX5.CT05_93676_STAT_PV
2024-10-03 20:26:13.945000+00:00,0.578688,FLEX5.CT05_93676_STAT_PV
2024-10-03 20:26:14.459000+00:00,144.94977,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:14.962000+00:00,145.18124,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:15.465000+00:00,145.45901,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:15.961000+00:00,145.5979,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:16.461000+00:00,146.01456,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:16.961000+00:00,146.47751,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:17.463000+00:00,146.80157,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:17.963000+00:00,147.17194,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:18.462000+00:00,147.5423,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:18.962000+00:00,147.95894,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:19.470000+00:00,148.19041,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:19.962000+00:00,148.46819,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:20+00:00,0,FLEX5.FLEX5_DC_HEARTBEAT
2024-10-03 20:26:20.468000+00:00,148.79225,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:20.964000+00:00,148.93114,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:21.479000+00:00,149.2552,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:21.483000+00:00,142.48746,FLEX5.TT05_93644_STAT_PV
2024-10-03 20:26:21.974000+00:00,149.48668,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:22.479000+00:00,149.71815,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:23.484000+00:00,149.99593,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:23.984000+00:00,150.2274,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:24.481000+00:00,150.41258,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:25.483000+00:00,150.64406,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:26.486000+00:00,150.78294,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:26.490000+00:00,142.7471,FLEX5.TT05_93644_STAT_PV
2024-10-03 20:26:26.984000+00:00,150.92183,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:27.987000+00:00,151.2459,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:28.486000+00:00,151.38478,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:28.990000+00:00,143.13774,FLEX5.TT05_93644_STAT_PV
2024-10-03 20:26:29.986000+00:00,151.56996,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:30+00:00,0,FLEX5.FLEX5_DC_HEARTBEAT
2024-10-03 20:26:30.987000+00:00,151.80144,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:31.491000+00:00,143.67007,FLEX5.TT05_93644_STAT_PV
2024-10-03 20:26:32.988000+00:00,151.94032,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:33.990000+00:00,152.07921,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:34.495000+00:00,144.06017,FLEX5.TT05_93644_STAT_PV
2024-10-03 20:26:37.001000+00:00,144.67004,FLEX5.TT05_93644_STAT_PV
2024-10-03 20:26:39.516000+00:00,145.05818,FLEX5.TT05_93644_STAT_PV
2024-10-03 20:26:40+00:00,0,FLEX5.FLEX5_DC_HEARTBEAT
2024-10-03 20:26:40.495000+00:00,151.94032,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:42+00:00,145.61739,FLEX5.TT05_93644_STAT_PV
2024-10-03 20:26:42.500000+00:00,151.80144,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:43.494000+00:00,151.61626,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:44.492000+00:00,151.47737,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:44.496000+00:00,146.12071,FLEX5.TT05_93644_STAT_PV
2024-10-03 20:26:45.497000+00:00,151.2459,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:46.495000+00:00,150.96812,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:47.494000+00:00,150.78294,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:47.498000+00:00,146.40959,FLEX5.TT05_93644_STAT_PV
2024-10-03 20:26:47.994000+00:00,150.64406,FLEX5.TT05_93608_STAT_PV
2024-10-03 20:26:48.494000+00:00,150.50517,FLEX5.TT05_93608_STAT_PV
